,IEIN,LocalTeacherID,LastName,FirstName,BirthDate,SchoolYear,ServingLocationRCDTS,EmployerRCDTS,Term,StateCourseCode,SectionNumber,TeacherCourseStartDate,EISPositionCode,TeacherCommitment,Network
15,948403.0,375136,Escobar,Andres,03/18/1956,2019,15016299025068C,15016299025068C,Y1,19101A000,Cosmetology-Licensing,02/25/2018,200.0,1.0,Options
16,17392.0,179280,Conner,Asher,08/16/1967,2019,15016299025056C,15016299025056C,S1,04051A000,World History-Overview,02/16/2018,200.0,1.0,Options
17,583282.0,310357,Meyers,Maximilian,05/20/1963,2019,15016299025068C,15016299025068C,S1,09051A000,Army Junior ROTC I,08/20/2018,200.0,1.0,Options
18,499695.0,763300,Vang,Reagan,09/21/1981,2019,15016299025284C,15016299025284C,S1,16051A000,"Exploration of Restaurant, Food and Beverage Services",01/14/2018,200.0,1.0,Charter
19,513041.0,140822,Shields,Rocco,11/02/1989,2019,15016299025260C,15016299025260C,Q1,05001A000,Dance Technique,08/20/2018,200.0,1.0,Charter
20,450359.0,297147,Welch,Jerimiah,06/01/1977,2019,15016299025086C,15016299025086C,S1,19001A000,Human Services Career Exploration,01/26/2018,200.0,1.0,Charter
21,757959.0,808714,Clayton,Trystan,07/06/1969,2019,15016299025285C,15016299025285C,S1,03051A000,Biology,08/20/2018,200.0,1.0,Charter
22,534955.0,485042,Medina,Chad,09/05/1980,2019,15016299025059C,15016299025059C,S1,02101A000,Number Theory,08/20/2018,200.0,1.0,Options
23,283239.0,549042,Castaneda,Tripp,10/14/1973,2019,15016299025056C,15016299025056C,S1,12051A000,Introductory Business,08/20/2018,200.0,1.0,Options
24,970753.0,543637,Harrell,Nasir,03/12/1956,2019,15016299025056C,15016299025056C,S1,21051A000,Technological Literacy,08/08/2018,203.0,1.0,Options
25,221298.0,367012,Hamilton,Talan,09/16/1953,2019,15016299025061C,15016299025061C,S1,20151A000,Distribution-Comprehensive,08/05/2018,200.0,1.0,Options
26,168100.0,85266,Davidson,Antoine,08/10/1962,2019,15016299025068C,15016299025068C,S1,02001A000,Informal Mathematics,08/20/2018,204.0,1.0,Options
27,580075.0,745644,Flynn,Cruz,09/18/1988,2019,15016299025086C,15016299025086C,S1,02101A000,Number Theory,08/20/2018,200.0,1.0,Charter
28,592850.0,786785,Christian,Charles,07/27/1986,2019,15016299025068C,15016299025068C,S1,19101A000,Cosmetology-Licensing,02/13/2018,200.0,1.0,Options
29,450804.0,596126,Lawrence,Carson,05/28/1969,2019,15016299025068C,15016299025068C,S1,02151A000,General Applied Math,09/21/2018,201.0,1.0,Options
30,135750.0,101146,Sherman,Felipe,04/22/1951,2019,15016299025068C,15016299025068C,S1,01001A000,English/Language Arts I (9th grade),08/20/2018,200.0,1.0,Options
31,194173.0,867448,Pitts,Gunner,03/20/1956,2019,15016299025061C,15016299025061C,S1,01101A000,English/Composition (freshmen and sophomores),08/20/2018,200.0,1.0,Options
32,51249.0,181104,Adkins,Antwan,02/24/1957,2019,15016299025069C,15016299025069C,Q1,01101A000,English/Composition (freshmen and sophomores),08/20/2018,200.0,1.0,Options
33,451108.0,123895,Garza,Rudy,06/02/1958,2019,15016299025058C,15016299025058C,S1,09101A000,Naval Junior ROTC I,08/20/2018,200.0,1.0,Options
34,792633.0,67610,Swanson,Erick,12/23/1985,2019,15016299025049C,15016299025049C,S1,03051A000,Biology,08/05/2018,200.0,1.0,Charter
35,218932.0,740221,Cohen,Gael,10/02/1984,2019,15016299025068C,15016299025068C,S1,05001A000,Dance Technique,08/18/2018,200.0,1.0,Options
36,895419.0,177249,Mendez,Gerardo,10/25/1966,2019,15016299025284C,15016299025284C,S1,20051A000,Truck and Bus Driving,08/20/2018,200.0,1.0,Charter
37,37583.0,916908,Nelson,Alex,01/18/1986,2019,15016299025068C,15016299025068C,Q1,19001A000,Human Services Career Exploration,08/20/2018,200.0,1.0,Options
38,525917.0,472069,Fleming,Jaylan,05/19/1967,2019,15016299025068C,15016299025068C,S1,01051A000,English/Literature (freshmen and sophomores),08/20/2018,200.0,1.0,Options
39,169120.0,660692,Branch,Kamren,09/14/1983,2019,15016299025262C,15016299025262C,S1,01101A000,English/Composition (freshmen and sophomores),08/20/2018,200.0,1.0,Charter
40,314258.0,902461,Thomas,Felipe,10/22/1990,2019,15016299025068C,15016299025068C,S1,14101A000,Dental Laboratory Technology,08/20/2018,200.0,1.0,Options
41,211476.0,100541,Ross,Jeffery,04/27/1960,2019,15016299025068C,15016299025068C,S1,18149A000,Animal Systems-Other,09/27/2018,201.0,1.0,Options
42,902011.0,888681,Braun,Maverick,05/09/1965,2019,15016299025274C,15016299025274C,S1,02001A000,Informal Mathematics,08/20/2018,200.0,1.0,Charter
43,208786.0,495724,Poole,Kenneth,09/20/1967,2019,15016299025068C,15016299025068C,S1,03101A000,Chemistry,08/20/2018,200.0,1.0,Options
44,727334.0,806863,Chapman,Jaeden,07/26/1971,2019,15016299025068C,15016299025068C,S1,05148A000,Music-Workplace Experience,08/08/2018,200.0,1.0,Options
45,450423.0,50176,Webb,Roland,01/17/1990,2019,15016299025068C,15016299025068C,S1,15001A000,Exploration of Public Service Careers,01/15/2018,200.0,1.0,Options
46,662650.0,593600,Baxter,Raphael,10/27/1969,2019,15016299025059C,15016299025059C,Y1,01151A000,Public Speaking,08/23/2018,200.0,1.0,Options
47,884175.0,448150,Simmons,Cooper,08/27/1982,2019,15016299025068C,15016299025068C,Y1,01151A000,Public Speaking,08/20/2018,200.0,1.0,Options
48,381641.0,299714,Noble,Luka,12/11/1957,2019,15016299025068C,15016299025068C,S1,08001A000,Physical Education,08/20/2018,200.0,1.0,Options
49,904537.0,977782,Sutton,Austin,04/20/1957,2019,15016299025274C,15016299025274C,S1,15051A000,Criminal Justice,08/26/2018,200.0,1.0,Charter
50,733339.0,993941,Hines,Aedan,09/20/1967,2019,15016299025068C,15016299025068C,S1,04051A000,World History-Overview,08/20/2018,200.0,1.0,Options
51,515106.0,47649,Lozano,Devyn,08/26/1973,2019,15016299025274C,15016299025274C,S1,15051A000,Criminal Justice,08/20/2018,200.0,1.0,Charter
52,610806.0,522035,Freeman,Giovanni,06/24/1990,2019,15016299025068C,15016299025068C,Q1,02101A000,Number Theory,08/20/2018,202.0,1.0,Options
53,128910.0,21742,Goodwin,Diego,09/27/1968,2019,15016299025059C,15016299025059C,S1,02049A000,Foundation Math-Other,08/20/2018,200.0,1.0,Options
54,782189.0,1674,Brennan,Clay,08/04/1975,2019,15016299025283C,15016299025283C,S1,14151A000,Medical/Clerical Assisting,08/20/2018,200.0,1.0,Charter
55,681814.0,954281,Barton,Emmanuel,08/11/1989,2019,15016299025260C,15016299025260C,Y1,01001A000,English/Language Arts I (9th grade),08/20/2018,200.0,1.0,Charter
56,362688.0,328654,Mueller,Jameson,12/18/1975,2019,15016299025285C,15016299025285C,S1,09101A000,Naval Junior ROTC I,08/20/2018,201.0,1.0,Charter
57,62182.0,421045,Burgess,Bailey,05/20/1960,2019,15016299025055C,15016299025055C,S1,01051A000,English/Literature (freshmen and sophomores),08/20/2018,200.0,1.0,Options
58,958236.0,260251,Buchanan,Cortez,11/17/1983,2019,15016299025054C,15016299025054C,S1,20051A000,Truck and Bus Driving,08/20/2018,200.0,1.0,Options
59,777773.0,793854,Kennedy,Leroy,08/26/1974,2019,15016299025068C,15016299025068C,S1,03051A000,Biology,08/20/2018,200.0,1.0,Options
60,879687.0,893717,Griffin,Donavan,10/08/1979,2019,15016299025068C,15016299025068C,Q1,04001A000,World Geography,09/03/2018,203.0,1.0,Options
61,617332.0,716833,Sanchez,Levi,05/02/1989,2019,15016299025061C,15016299025061C,S1,18101A000,Animal Production/Science,08/20/2018,204.0,1.0,Options
62,225150.0,593595,Solis,Ahmed,10/03/1990,2019,15016299025068C,15016299025068C,S1,02001A000,Informal Mathematics,08/20/2018,204.0,1.0,Options
63,48724.0,313780,Bond,Timothy,08/21/1989,2019,15016299025268C,15016299025268C,S1,03051A000,Biology,08/20/2018,200.0,1.0,Charter
64,718553.0,208127,Bender,Robert,10/09/1960,2019,15016299025068C,15016299025068C,Y1,16101A000,Exploration of Lodging Careers,08/20/2018,204.0,1.0,Options
65,563087.0,984864,Anderson,Dillan,11/24/1959,2019,15016299025068C,15016299025068C,S1,20151A000,Distribution-Comprehensive,08/20/2018,200.0,1.0,Options
66,972364.0,668554,Berg,Luis,06/08/1990,2019,15016299025068C,15016299025068C,S1,05101A000,General Band,08/20/2018,200.0,1.0,Options
67,247930.0,29754,Wyatt,Dillan,02/23/1963,2019,15016299025068C,15016299025068C,S1,16051A000,"Exploration of Restaurant, Food and Beverage Services",08/20/2018,200.0,1.0,Options
68,489319.0,86595,Newman,Chris,12/02/1950,2019,15016299025068C,15016299025068C,S1,02101A000,Number Theory,08/20/2018,200.0,1.0,Options
69,747695.0,864975,Savage,Darren,01/15/1956,2019,15016299025062C,15016299025062C,S1,04151A000,U.S. Government-Comprehensive,08/27/2018,200.0,1.0,Options
70,760175.0,952429,Peters,Manuel,07/03/1972,2019,15016299025068C,15016299025068C,Y1,03151A000,Physics,08/21/2018,200.0,1.0,Options
71,619067.0,799472,Anderson,Darwin,12/01/1979,2019,15016299025270C,15016299025270C,S1,02001A000,Informal Mathematics,08/20/2018,200.0,1.0,Charter
72,158027.0,843767,Brady,Cornelius,06/21/1978,2019,15016299025068C,15016299025068C,Y1,01151A000,Public Speaking,08/20/2018,200.0,1.0,Options
73,218972.0,570383,Holloway,Dillan,11/27/1982,2019,15016299025059C,15016299025059C,S1,04151A000,U.S. Government-Comprehensive,01/08/2018,200.0,1.0,Options
74,606427.0,990945,Stevens,Jay,12/01/1988,2019,15016299025276C,15016299025276C,S1,02101A000,Number Theory,02/07/2018,200.0,1.0,Charter
75,773181.0,922494,Blanchard,Lane,08/13/1982,2019,15016299025070C,15016299025070C,Y1,14151A000,Medical/Clerical Assisting,08/20/2018,200.0,1.0,Options
76,953162.0,631061,Valenzuela,Jonas,05/28/1990,2019,15016299025068C,15016299025068C,Y1,03151A000,Physics,02/05/2018,200.0,1.0,Options
77,177484.0,958620,Roberts,Jaron,07/01/1968,2019,15016299025063C,15016299025063C,Y1,11101A000,Journalism,08/20/2018,200.0,1.0,Options
78,701761.0,203430,Phillips,Leroy,12/16/1966,2019,15016299025086C,15016299025086C,S1,20051A000,Truck and Bus Driving,08/20/2018,202.0,1.0,Charter
79,318473.0,593151,Chase,Gael,12/22/1990,2019,15016299025263C,15016299025263C,S1,03049A000,Earth Science-Other,01/14/2018,200.0,1.0,Charter
80,399425.0,409325,Hardy,Bo,03/10/1971,2019,15016299025276C,15016299025276C,S1,01051A000,English/Literature (freshmen and sophomores),01/08/2018,200.0,1.0,Charter
81,980468.0,551496,Brady,Noel,05/13/1960,2019,15016299025060C,15016299025060C,S1,03151A000,Physics,08/21/2018,200.0,1.0,Options
82,628134.0,799256,Sherman,Konner,12/08/1954,2019,15016299025072C,15016299025072C,S1,04151A000,U.S. Government-Comprehensive,09/16/2018,200.0,1.0,Options
83,29499.0,643080,Cameron,Corbin,03/20/1973,2019,15016299025283C,15016299025283C,S1,01151A000,Public Speaking,08/20/2018,200.0,1.0,Charter
84,44981.0,819672,Paul,Raymond,04/28/1957,2019,15016299025063C,15016299025063C,S1,02001A000,Informal Mathematics,08/20/2018,200.0,1.0,Options
85,829831.0,469891,Benton,Zaiden,09/21/1984,2019,15016299025066C,15016299025066C,S1,08001A000,Physical Education,08/20/2018,200.0,1.0,Options
86,545603.0,984844,Lloyd,Nathan,01/27/1950,2019,15016299025068C,15016299025068C,S1,08051A000,Health Education,08/20/2018,200.0,1.0,Options
87,402573.0,276534,Lester,Zane,06/22/1978,2019,15016299025274C,15016299025274C,S1,18051A000,Plant Production/Science,08/20/2018,200.0,1.0,Charter
88,249654.0,465802,Hernandez,Marcos,07/22/1971,2019,15016299025274C,15016299025274C,S1,09151A000,Air Force Junior ROTC I,08/24/2018,200.0,1.0,Charter
89,348287.0,959668,Mccann,Gregory,08/22/1966,2019,15016299025056C,15016299025056C,S1,10051A000,Information Management,08/20/2018,203.0,1.0,Options
90,181872.0,708967,Mason,Lawson,07/03/1962,2019,15016299025064C,15016299025064C,S1,01051A000,English/Literature (freshmen and sophomores),08/20/2018,200.0,1.0,Options
91,936887.0,75882,Houston,Gordon,10/18/1971,2019,15016299025068C,15016299025068C,Q1,03151A000,Physics,08/20/2018,200.0,1.0,Options
92,148126.0,883953,Mcdowell,Davis,06/25/1972,2019,15016299025059C,15016299025059C,S1,01151A000,Public Speaking,08/20/2018,200.0,1.0,Options
93,323266.0,386602,Sanchez,Erick,05/12/1970,2019,15016299025063C,15016299025063C,S1,04051A000,World History-Overview,08/20/2018,200.0,1.0,Options
94,242072.0,884909,Lester,Braylon,07/24/1990,2019,15016299025068C,15016299025068C,S1,03001A000,Earth Science,08/20/2018,200.0,1.0,Options
95,981428.0,127627,Huerta,Bryan,02/23/1972,2019,15016299025262C,15016299025262C,S1,03051A000,Biology,01/01/2018,200.0,1.0,Charter
96,58128.0,861678,Benson,Raphael,06/07/1963,2019,15016299025068C,15016299025068C,S1,02101A000,Number Theory,09/08/2018,200.0,1.0,Options
97,845921.0,59530,Bolton,Jaeden,04/16/1979,2019,15016299025068C,15016299025068C,S1,04149A000,U.S. History-Other,08/20/2018,200.0,1.0,Options
98,301455.0,85661,Anthony,Rodolfo,12/19/1977,2019,15016299025064C,15016299025064C,S1,04101A000,U.S. History-Comprehensive,08/20/2018,200.0,1.0,Options
99,385522.0,556687,Espinoza,Isaias,04/09/1961,2019,15016299025068C,15016299025068C,S1,01148A000,Composition-Workplace Experience,08/20/2018,200.0,1.0,Options
100,567085.0,343691,Curry,Luke,09/28/1976,2019,15016299025060C,15016299025060C,S1,04101A000,U.S. History-Comprehensive,01/10/2018,201.0,1.0,Options
101,983745.0,250789,Mcmahon,Ismael,09/28/1983,2019,15016299025068C,15016299025068C,S1,02151A000,General Applied Math,08/20/2018,200.0,1.0,Options
102,725528.0,909140,Boyer,Nasir,05/20/1967,2019,15016299025072C,15016299025072C,S1,05051A000,Introduction to the Theater,08/20/2018,200.0,1.0,Options
103,975765.0,421032,Whitney,Benjamin,08/09/1940,2019,15016299025068C,15016299025068C,Y1,03101A000,Chemistry,01/01/2018,200.0,1.0,Options
104,908333.0,259329,Osborn,Bo,02/19/1986,2019,15016299025109C,15016299025109C,Q1,01151A000,Public Speaking,08/20/2018,201.0,1.0,Charter
105,530832.0,489915,Curry,Cameron,08/22/1963,2019,15016299025068C,15016299025068C,S1,08001A000,Physical Education,08/20/2018,200.0,1.0,Options
106,92388.0,567792,Frye,Phoenix,12/11/1975,2019,15016299025268C,15016299025268C,S1,12051A000,Introductory Business,02/26/2018,200.0,1.0,Charter
107,5594.0,300890,Freeman,Chandler,02/14/1944,2019,15016299025267C,15016299025267C,Y1,15151A000,Fire Science,09/02/2018,200.0,1.0,Charter
108,559615.0,446584,English,Finn,12/20/1976,2019,15016299025061C,15016299025061C,S1,01101A000,English/Composition (freshmen and sophomores),08/20/2018,200.0,1.0,Options
109,381295.0,434520,Sanford,Charles,03/16/1963,2019,15016299025068C,15016299025068C,S1,20151A000,Distribution-Comprehensive,08/20/2018,200.0,1.0,Options
110,293569.0,54479,Bender,Layton,06/07/1972,2019,15016299025049C,15016299025049C,S1,01101A000,English/Composition (freshmen and sophomores),08/20/2018,200.0,1.0,Charter
111,745519.0,587795,Coleman,Savion,12/08/1978,2019,15016299025264C,15016299025264C,S1,01001A000,English/Language Arts I (9th grade),08/20/2018,200.0,1.0,Charter
112,782373.0,272310,Schneider,Orion,11/07/1954,2019,15016299025063C,15016299025063C,S1,10151A000,Business Programming,08/20/2018,200.0,1.0,Options
113,906422.0,40978,Calderon,Armani,10/16/1966,2019,15016299025061C,15016299025061C,S1,04101A000,U.S. History-Comprehensive,08/20/2018,200.0,1.0,Options
114,90308.0,611080,Norman,Devan,04/07/1954,2019,15016299025068C,15016299025068C,Y1,22101A000,Leadership,02/17/2018,200.0,1.0,Options
115,855647.0,612385,Gillespie,Brian,10/13/1966,2019,15016299025068C,15016299025068C,Y1,03051A000,Biology,09/24/2018,200.0,1.0,Options
116,423616.0,509545,Copeland,Tony,12/18/1990,2019,15016299025059C,15016299025059C,S1,22051A000,Office Aide,08/20/2018,200.0,1.0,Options
117,948347.0,659851,Young,Diego,05/27/1959,2019,15016299025068C,15016299025068C,S1,05151A000,Art Appreciation,08/20/2018,200.0,1.0,Options
118,393864.0,39727,Mccarthy,Chase,08/28/1958,2019,15016299025270C,15016299025270C,S1,02101A000,Number Theory,08/20/2018,201.0,1.0,Charter
119,828898.0,959007,Stark,Kyle,10/04/1975,2019,15016299025264C,15016299025264C,S1,02001A000,Informal Mathematics,09/02/2018,200.0,1.0,Charter
120,243390.0,256489,Lloyd,Thomas,06/23/1990,2019,15016299025049C,15016299025049C,S1,10101A000,Network Technology,08/20/2018,200.0,1.0,Charter
121,134361.0,879032,Townsend,Jacob,12/28/1984,2019,15016299025056C,15016299025056C,S1,18051A000,Plant Production/Science,01/03/2018,200.0,1.0,Options
122,219980.0,592588,Barrett,Jeremiah,12/23/1979,2019,15016299025068C,15016299025068C,S1,03001A000,Earth Science,02/13/2018,200.0,1.0,Options
123,303240.0,367644,Bullock,Armando,02/18/1965,2019,15016299025055C,15016299025055C,S1,01051A000,English/Literature (freshmen and sophomores),08/20/2018,200.0,1.0,Options
124,222366.0,951480,Powell,Isai,03/23/1972,2019,15016299025068C,15016299025068C,S1,17051A000,Air Conditioning,08/20/2018,200.0,1.0,Options
125,596090.0,476586,Wolfe,Drake,05/21/1986,2019,15016299025068C,15016299025068C,S1,03001A000,Earth Science,08/20/2018,200.0,1.0,Options
126,438353.0,579925,Clarke,Joseph,11/28/1989,2019,15016299025063C,15016299025063C,S1,02151A000,General Applied Math,08/20/2018,200.0,1.0,Options
127,71662.0,832849,Arroyo,Enrique,03/17/1963,2019,15016299025068C,15016299025068C,S1,04051A000,World History-Overview,08/20/2018,200.0,1.0,Options
128,615825.0,280487,Bradford,Chad,01/25/1984,2019,15016299025056C,15016299025056C,Q1,02001A000,Informal Mathematics,01/11/2018,200.0,1.0,Options
129,554600.0,471085,Carrillo,Alejandro,08/27/1974,2019,15016299025066C,15016299025066C,S1,20001A000,"Exploration of Transportation, Distribution and Logistics",09/16/2018,200.0,1.0,Options
130,934276.0,664093,Charles,Kael,04/25/1974,2019,15016299025068C,15016299025068C,Q1,09001A000,Introduction to Jr. ROTC,08/20/2018,200.0,1.0,Options
131,20336.0,982899,Flynn,Nehemiah,03/28/1990,2019,15016299025068C,15016299025068C,S1,01001A000,English/Language Arts I (9th grade),08/20/2018,200.0,1.0,Options
132,53460.0,936410,Cervantes,Aryan,04/11/1973,2019,15016299025068C,15016299025068C,S1,09051A000,Army Junior ROTC I,08/20/2018,200.0,1.0,Options
133,535727.0,512143,Dorsey,Emery,04/17/1984,2019,15016299025054C,15016299025054C,Y1,01101A000,English/Composition (freshmen and sophomores),08/20/2018,200.0,1.0,Options
134,175188.0,889537,Ruiz,Troy,02/09/1968,2019,15016299025109C,15016299025109C,S1,03151A000,Physics,09/03/2018,200.0,1.0,Charter
135,454052.0,938136,Soto,Sage,08/15/1990,2019,15016299025049C,15016299025049C,S1,01051A000,English/Literature (freshmen and sophomores),08/20/2018,200.0,1.0,Charter
136,552044.0,366784,Friedman,Hudson,01/04/1957,2019,15016299025060C,15016299025060C,S1,22001A000,Standardized Test Preparation,08/04/2018,200.0,1.0,Options
137,763601.0,844463,Park,Ronin,11/09/1990,2019,15016299025068C,15016299025068C,S1,08151A000,Drivers’ Education-Classroom Only,08/20/2018,202.0,1.0,Options
138,755869.0,135955,Clark,Yahir,07/25/1970,2019,15016299025068C,15016299025068C,S1,02101A000,Number Theory,09/16/2018,200.0,1.0,Options
139,570151.0,129027,Newman,Jackson,09/19/1990,2019,15016299025261C,15016299025261C,Y1,02101A000,Number Theory,08/20/2018,200.0,1.0,Charter
140,313970.0,515883,Woodard,Dean,07/09/1982,2019,15016299025274C,15016299025274C,S1,10101A000,Network Technology,08/20/2018,200.0,1.0,Charter
141,689603.0,322723,Paul,George,12/07/1969,2019,15016299025068C,15016299025068C,Y1,10101A000,Network Technology,08/20/2018,200.0,1.0,Options
142,243194.0,795558,Berg,Phillip,04/02/1944,2019,15016299025068C,15016299025068C,S1,15147A000,Security and Protection-Independent Study,08/20/2018,200.0,1.0,Options
143,580429.0,182337,Sherman,Alexzander,01/17/1990,2019,15016299025068C,15016299025068C,S1,03001A000,Earth Science,01/10/2018,200.0,1.0,Options
144,796523.0,500032,Chandler,Trevor,10/06/1976,2019,15016299025059C,15016299025059C,S1,02141A000,Particular Topics in Analytic Mathematics,08/20/2018,200.0,1.0,Options
145,967883.0,629659,Vang,Robert,10/02/1970,2019,15016299025068C,15016299025068C,S1,04051A000,World History-Overview,08/20/2018,200.0,1.0,Options
146,200797.0,76106,Costa,Nikolai,06/27/1967,2019,15016299025068C,15016299025068C,S1,01001A000,English/Language Arts I (9th grade),02/08/2018,200.0,1.0,Options
147,897375.0,843936,Whitney,Diego,05/04/1968,2019,15016299025285C,15016299025285C,S1,04051A000,World History-Overview,09/04/2018,200.0,1.0,Charter
148,5534.0,206609,Hicks,Greyson,01/28/1989,2019,15016299025068C,15016299025068C,S1,04051A000,World History-Overview,01/20/2018,200.0,1.0,Options
149,968545.0,345167,Osborne,Ahmad,10/14/1961,2019,15016299025064C,15016299025064C,Y1,17048A000,General Construction-Workplace Experience,01/14/2018,200.0,1.0,Options
150,629815.0,255234,Garrison,Malachi,02/23/1964,2019,15016299025063C,15016299025063C,S1,15151A000,Fire Science,08/20/2018,200.0,1.0,Options
151,178511.0,254519,Mcfarland,Keon,09/27/1986,2019,15016299025086C,15016299025086C,S1,02101A000,Number Theory,08/20/2018,200.0,1.0,Charter
152,227817.0,454333,Anthony,Cristofer,02/25/1988,2019,15016299025065C,15016299025065C,S1,22051A000,Office Aide,08/20/2018,200.0,1.0,Options
153,594609.0,418259,Bradley,Jerimiah,04/02/1973,2019,15016299025064C,15016299025064C,S1,02151A000,General Applied Math,08/11/2018,203.0,1.0,Options
154,874972.0,602451,Davis,Nolan,06/04/1986,2019,15016299025068C,15016299025068C,Y1,04051A000,World History-Overview,08/20/2018,200.0,1.0,Options
155,440619.0,166104,Zuniga,Brennan,04/09/1966,2019,15016299025068C,15016299025068C,S1,04051A000,World History-Overview,08/20/2018,200.0,1.0,Options
156,663360.0,499591,Hanson,Robert,10/25/1965,2019,15016299025283C,15016299025283C,S1,15001A000,Exploration of Public Service Careers,08/20/2018,200.0,1.0,Charter
157,208571.0,812218,Adkins,Hector,11/25/1954,2019,15016299025068C,15016299025068C,S1,02051A000,Pre-Algebra,08/20/2018,200.0,1.0,Options
158,24456.0,390512,Hoover,Fletcher,08/25/1990,2019,15016299025055C,15016299025055C,Y1,01101A000,English/Composition (freshmen and sophomores),08/20/2018,200.0,1.0,Options
159,57891.0,813507,Bowman,Myles,06/01/1974,2019,15016299025056C,15016299025056C,S1,19051A000,Child Care,08/20/2018,200.0,1.0,Options
160,650729.0,706307,Weaver,Kane,05/28/1990,2019,15016299025063C,15016299025063C,S1,03101A000,Chemistry,08/20/2018,202.0,1.0,Options
161,426029.0,328987,Barker,Gael,10/17/1959,2019,15016299025262C,15016299025262C,S1,18001A000,Introduction to Agriculture and Natural Resources,08/20/2018,200.0,1.0,Charter
162,833627.0,93261,Carey,Tate,03/09/1956,2019,15016299025066C,15016299025066C,S1,03051A000,Biology,08/20/2018,200.0,1.0,Options
163,728774.0,35324,Montgomery,Felix,07/10/1990,2019,15016299025068C,15016299025068C,S1,18051A000,Plant Production/Science,08/20/2018,200.0,1.0,Options
164,17132.0,365772,Nelson,Brian,10/11/1985,2019,15016299025068C,15016299025068C,S1,05151A000,Art Appreciation,02/07/2018,200.0,1.0,Options
165,994339.0,39263,Contreras,Braiden,12/28/1979,2019,15016299025261C,15016299025261C,S1,16051A000,"Exploration of Restaurant, Food and Beverage Services",08/20/2018,201.0,1.0,Charter
166,609909.0,903245,Alvarado,Dillan,05/01/1980,2019,15016299025059C,15016299025059C,S1,03101A000,Chemistry,08/20/2018,200.0,1.0,Options
167,655419.0,911019,Paul,Vance,06/20/1956,2019,15016299025068C,15016299025068C,S1,06101A000,Spanish I,09/24/2018,200.0,1.0,Options
168,216178.0,388849,Flynn,Nathanial,05/20/1990,2019,15016299025068C,15016299025068C,S1,03001A000,Earth Science,08/20/2018,200.0,1.0,Options
169,440496.0,106361,Graham,Nathen,10/15/1973,2019,15016299025068C,15016299025068C,S1,03001A000,Earth Science,08/20/2018,203.0,1.0,Options
170,518765.0,416416,Monroe,Clay,03/27/1963,2019,15016299025270C,15016299025270C,S1,03101A000,Chemistry,08/20/2018,200.0,1.0,Charter
171,153135.0,575535,Anthony,Marvin,09/23/1957,2019,15016299025060C,15016299025060C,S1,15101A000,Public Safety,08/20/2018,200.0,1.0,Options
172,799282.0,442083,Haynes,Jayvon,02/23/1959,2019,15016299025085C,15016299025085C,S1,04001A000,World Geography,09/24/2018,200.0,1.0,Charter
