IEIN,LocalTeacherID,LastName,FirstName,BirthDate,SchoolYear,ServingLocationRCDTS,EmployerRCDTS,Term,StateCourseCode,LocalCourseID,LocalCourseTitle,SectionNumber,TeacherCourseStartDate,EISPositionCode,TeacherCommitment
333744,dbell,Bell,Devon,8/4/1962,2019,15016299025065C,15016299025065C,Q1,01101A000,,,English/Composition (freshmen and sophomores),02/10/2018,200,1.00
866618,639272,Duffy,Lamar,11/18/1970,2019,15016299025068C,15016299025068C,S1,04051A000,,,World History-Overview,02/11/2018,200,1.00
171578,717956,Soto,Roland,8/14/1982,2019,15016299025068C,15016299025068C,S1,16001A000,,,Exploration of Hospitality Careers,08/20/2018,200,1.00
443020,460113,Dodson,Desmond,4/6/1966,2019,15016299025068C,15016299025068C,S1,08001A000,,,Physical Education,08/20/2018,200,1.00
611044,652417,Daniels,Grady,3/11/1970,2019,15016299025262C,15016299025262C,S1,02101A000,,,Number Theory,08/20/2018,201,1.00
,59986,Edwards,Coby,11/10/1958,2019,15016299025062C,15016299025062C,S1,19151A000,,,Teaching Profession,08/20/2018,200,1.00
,141163,Freeman,Madden,1/1/1958,2019,15016299025068C,15016299025068C,S1,03001A000,,,Earth Science,08/20/2018,200,1.00
,,,,,2019,15016299025273C,15016299025273C,S1,16001A000,,,Exploration of Hospitality Careers,,,
732701,535618,Cortez,Dexter,8/10/1990,2019,15016299025054C,15016299025054C,Y1,09151A000,,,Air Force Junior ROTC I,08/20/2018,200,1.00
,dhunt,Hunt,Davin,11/28/1960,2019,15016299025068C,15016299025068C,S1,19051A000,,,Child Care,08/20/2018,200,1.00
,,,,,2019,15016299025273C,15016299025273C,Q1,01051A000,,,English/Literature (freshmen and sophomores),,,
,abailey,Bailey,Alan,9/14/1990,2019,15016299025068C,15016299025068C,Q1,17001A000,,,Construction Careers Exploration,09/23/2018,200,1.00
,,,,,2019,15016299025273C,15016299025273C,S1,08151A000,,,Drivers’ Education-Classroom Only,,,
,632774,Hampton,Collin,12/2/1970,2019,15016299025068C,15016299025068C,S1,06101A000,,,Spanish I,08/20/2018,200,1.00
,38174,Parker,Jaron,11/2/1990,2019,15016299025055C,15016299025055C,S1,21001A000,,,Pre-Engineering Technology,08/20/2018,200,1.00
,622293,Pineda,Joe,8/18/1986,2019,15016299025054C,15016299025054C,Q1,03051A000,,,Biology,08/20/2018,200,1.00
,,,,,2019,15016299025273C,15016299025273C,S1,13149A000,,,Production Systems-Other,,,
288918,785030,Hanson,Konnor,9/17/1975,2019,15016299025068C,15016299025068C,S1,21001A000,,,Pre-Engineering Technology,01/23/2018,200,1.00
332218,111114,Webb,Ismael,8/15/1965,2019,15016299025068C,15016299025068C,Y1,12001A000,,,Business/Office Career Exploration,08/18/2018,200,1.00
,723199,Key,Hezekiah,5/22/1970,2019,15016299025055C,15016299025055C,S1,03001A000,,,Earth Science,08/20/2018,200,1.00
,400672,Reilly,Zavier,5/1/1969,2019,15016299025264C,15016299025264C,Y1,03001A000,,,Earth Science,08/20/2018,200,1.00
267788,219987,Moses,Pedro,11/15/1971,2019,15016299025285C,15016299025285C,S1,11051A000,,,Audio/Visual Production,02/01/2018,200,1.00
948403,375136,Escobar,Andres,3/18/1956,2019,15016299025068C,15016299025068C,Y1,19101A000,,,Cosmetology-Licensing,02/25/2018,200,1.00
,jclarke,Clarke,Jake,3/9/1966,2019,15016299025071C,15016299025071C,S1,01101A000,,,English/Composition (freshmen and sophomores),08/19/2018,200,1.00
17392,179280,Conner,Asher,8/16/1967,2019,15016299025056C,15016299025056C,S1,04051A000,,,World History-Overview,02/16/2018,200,1.00
,mrichard,Richard,Mekhi,3/19/1942,2019,15016299025068C,15016299025068C,S1,10101A000,,,Network Technology,08/26/2018,200,1.00
583282,310357,Meyers,Maximilian,5/20/1963,2019,15016299025068C,15016299025068C,S1,09051A000,,,Army Junior ROTC I,08/20/2018,200,1.00
,dmurphy,Murphy,Dustin,5/13/1949,2019,15016299025270C,15016299025270C,S1,03051A000,,,Biology,02/15/2018,200,1.00
499695,763300,Vang,Reagan,9/21/1981,2019,15016299025284C,15016299025284C,S1,16051A000,,,"Exploration of Restaurant, Food and Beverage Services",01/14/2018,200,1.00
,,,,,2019,15016299025273C,15016299025273C,S1,16149A000,,,Lodging-Other,,,
513041,140822,Shields,Rocco,11/2/1989,2019,15016299025260C,15016299025260C,Q1,05001A000,,,Dance Technique,08/20/2018,200,1.00
450359,297147,Welch,Jerimiah,6/1/1977,2019,15016299025086C,15016299025086C,S1,19001A000,,,Human Services Career Exploration,01/26/2018,200,1.00
,342585,Mckee,Joey,5/19/1955,2019,15016299025267C,15016299025267C,S1,02001A000,,,Informal Mathematics,08/20/2018,200,1.00
,,,,,2019,15016299025273C,15016299025273C,Q1,01101A000,,,English/Composition (freshmen and sophomores),,,
757959,808714,Clayton,Trystan,7/6/1969,2019,15016299025285C,15016299025285C,S1,03051A000,,,Biology,08/20/2018,200,1.00
534955,485042,Medina,Chad,9/5/1980,2019,15016299025059C,15016299025059C,S1,02101A000,,,Number Theory,08/20/2018,200,1.00
283239,549042,Castaneda,Tripp,10/14/1973,2019,15016299025056C,15016299025056C,S1,12051A000,,,Introductory Business,08/20/2018,200,1.00
,ocuevas,Cuevas,Orion,3/7/1985,2019,15016299025062C,15016299025062C,S1,18051A000,,,Plant Production/Science,08/20/2018,200,1.00
279855,umacdonald,Macdonald,Ulises,1/14/1961,2019,15016299025072C,15016299025072C,S1,01051A000,,,English/Literature (freshmen and sophomores),09/18/2018,200,1.00
970753,543637,Harrell,Nasir,3/12/1956,2019,15016299025056C,15016299025056C,S1,21051A000,,,Technological Literacy,08/08/2018,203,1.00
221298,367012,Hamilton,Talan,9/16/1953,2019,15016299025061C,15016299025061C,S1,20151A000,,,Distribution-Comprehensive,08/05/2018,200,1.00
,68949,Mcmillan,Marvin,3/21/1969,2019,15016299025057C,15016299025057C,S1,02101A000,,,Number Theory,01/27/2018,200,1.00
,,,,,2019,15016299025273C,15016299025273C,S1,12001A000,,,Business/Office Career Exploration,,,
,rharrell,Harrell,Rex,1/11/1973,2019,15016299025260C,15016299025260C,Y1,02001A000,,,Informal Mathematics,02/02/2018,200,1.00
,969153,Shannon,Kolton,1/9/1965,2019,15016299025068C,15016299025068C,Y1,02001A000,,,Informal Mathematics,08/20/2018,200,1.00
617607,tgould,Gould,Tyree,6/19/1980,2019,15016299025066C,15016299025066C,S1,03151A000,,,Physics,08/20/2018,200,1.00
168100,85266,Davidson,Antoine,8/10/1962,2019,15016299025068C,15016299025068C,S1,02001A000,,,Informal Mathematics,08/20/2018,204,1.00
,276290,Flores,Kade,5/26/1966,2019,15016299025064C,15016299025064C,S1,12101A000,,,Banking and Finance,08/20/2018,200,1.00
580075,745644,Flynn,Cruz,9/18/1988,2019,15016299025086C,15016299025086C,S1,02101A000,,,Number Theory,08/20/2018,200,1.00
592850,786785,Christian,Charles,7/27/1986,2019,15016299025068C,15016299025068C,S1,19101A000,,,Cosmetology-Licensing,02/13/2018,200,1.00
450804,596126,Lawrence,Carson,5/28/1969,2019,15016299025068C,15016299025068C,S1,02151A000,,,General Applied Math,09/21/2018,201,1.00
,951408,Ross,Cole,1/17/1990,2019,15016299025263C,15016299025263C,Y1,10151A000,,,Business Programming,08/24/2018,200,1.00
35418,172316,Hanna,Luke,5/1/1990,2019,15016299025068C,15016299025068C,S1,06101A000,,,Spanish I,08/20/2018,205,1
135750,101146,Sherman,Felipe,4/22/1951,2019,15016299025068C,15016299025068C,S1,01001A000,,,English/Language Arts I (9th grade),08/20/2018,200,1.00
194173,867448,Pitts,Gunner,3/20/1956,2019,15016299025061C,15016299025061C,S1,01101A000,,,English/Composition (freshmen and sophomores),08/20/2018,200,1.00
963325,898345,Bridges,Mateo,5/11/1989,2019,15016299025068C,15016299025068C,S1,21101A000,,,Drafting Careers Exploration,08/20/2018,205,1.00
51249,181104,Adkins,Antwan,2/24/1957,2019,15016299025069C,15016299025069C,Q1,01101A000,,,English/Composition (freshmen and sophomores),08/20/2018,200,1.00
451108,123895,Garza,Rudy,6/2/1958,2019,15016299025058C,15016299025058C,S1,09101A000,,,Naval Junior ROTC I,08/20/2018,200,1.00
792633,67610,Swanson,Erick,12/23/1985,2019,15016299025049C,15016299025049C,S1,03051A000,,,Biology,08/05/2018,200,1.00
218932,740221,Cohen,Gael,10/2/1984,2019,15016299025068C,15016299025068C,S1,05001A000,,,Dance Technique,08/18/2018,200,1
,,,,,2019,15016299025273C,15016299025273C,S1,21051A000,,,Technological Literacy,,,
,,,,,2019,15016299025273C,15016299025273C,Q1,05051A000,,,Introduction to the Theater,,,
977816,mandrade,Andrade,Miles,2/5/1977,2019,15016299025259C,15016299025259C,S1,15001A000,,,Exploration of Public Service Careers,09/12/2018,200,1.00
895419,177249,Mendez,Gerardo,10/25/1966,2019,15016299025284C,15016299025284C,S1,20051A000,,,Truck and Bus Driving,08/20/2018,200,1.00
,,,,,2019,15016299025273C,15016299025273C,S1,15151A000,,,Fire Science,,,
,115758,Diaz,Dominique,7/23/1974,2019,15016299025068C,15016299025068C,S1,17049A000,,,General Construction-Other,08/20/2018,200,1.00
37583,916908,Nelson,Alex,1/18/1986,2019,15016299025068C,15016299025068C,Q1,19001A000,,,Human Services Career Exploration,08/20/2018,200,1.00
,480893,Hansen,Moises,10/1/1963,2019,15016299025067C,15016299025067C,S1,12101A000,,,Banking and Finance,08/10/2018,200,1.00
,673434,Morrison,Devon,5/22/1976,2019,15016299025276C,15016299025276C,S1,22051A000,,,Office Aide,08/09/2018,200,1.00
,151589,Osborn,Jamari,5/24/1968,2019,15016299025068C,15016299025068C,S1,17051A000,,,Air Conditioning,08/20/2018,201,1.00
525917,472069,Fleming,Jaylan,5/19/1967,2019,15016299025068C,15016299025068C,S1,01051A000,,,English/Literature (freshmen and sophomores),08/20/2018,200,1.00
759195,fhines,Hines,Finley,11/6/1969,2019,15016299025068C,15016299025068C,S1,22101A000,,,Leadership,02/28/2018,200,1.00
169120,660692,Branch,Kamren,9/14/1983,2019,15016299025262C,15016299025262C,S1,01101A000,,,English/Composition (freshmen and sophomores),08/20/2018,200,1.00
314258,902461,Thomas,Felipe,10/22/1990,2019,15016299025068C,15016299025068C,S1,14101A000,,,Dental Laboratory Technology,08/20/2018,200,1.00
211476,100541,Ross,Jeffery,4/27/1960,2019,15016299025068C,15016299025068C,S1,18149A000,,,Animal Systems-Other,09/27/2018,201,1.00
902011,888681,Braun,Maverick,5/9/1965,2019,15016299025274C,15016299025274C,S1,02001A000,,,Informal Mathematics,08/20/2018,200,1.00
,128391,Callahan,Jagger,3/6/1990,2019,15016299025276C,15016299025276C,S1,04101A000,,,U.S. History-Comprehensive,08/20/2018,200,1.00
,578928,Joseph,Camren,9/19/1978,2019,15016299025073C,15016299025073C,S1,03001A000,,,Earth Science,01/26/2018,200,1.00
208786,495724,Poole,Kenneth,9/20/1967,2019,15016299025068C,15016299025068C,S1,03101A000,,,Chemistry,08/20/2018,200,1.00
,732751,Chapman,Bruno,2/10/1966,2019,15016299025284C,15016299025284C,S1,02101A000,,,Number Theory,08/20/2018,200,1.00
727334,806863,Chapman,Jaeden,7/26/1971,2019,15016299025068C,15016299025068C,S1,05148A000,,,Music-Workplace Experience,08/08/2018,200,1.00
450423,50176,Webb,Roland,1/17/1990,2019,15016299025068C,15016299025068C,S1,15001A000,,,Exploration of Public Service Careers,01/15/2018,200,1.00
,54331,House,Elliot,8/15/1963,2019,15016299025067C,15016299025067C,S1,02151A000,,,General Applied Math,08/20/2018,200,1.00
,314567,Hansen,Keyon,1/2/1971,2019,15016299025066C,15016299025066C,S1,12001A000,,,Business/Office Career Exploration,08/20/2018,200,1.00
662650,593600,Baxter,Raphael,10/27/1969,2019,15016299025059C,15016299025059C,Y1,01151A000,,,Public Speaking,08/23/2018,200,1.00
884175,448150,Simmons,Cooper,8/27/1982,2019,15016299025068C,15016299025068C,Y1,01151A000,,,Public Speaking,08/20/2018,200,1.00
381641,299714,Noble,Luka,12/11/1957,2019,15016299025068C,15016299025068C,S1,08001A000,,,Physical Education,08/20/2018,200,1.00
904537,977782,Sutton,Austin,4/20/1957,2019,15016299025274C,15016299025274C,S1,15051A000,,,Criminal Justice,08/26/2018,200,1.00
733339,993941,Hines,Aedan,9/20/1967,2019,15016299025068C,15016299025068C,S1,04051A000,,,World History-Overview,08/20/2018,200,1.00
515106,47649,Lozano,Devyn,8/26/1973,2019,15016299025274C,15016299025274C,S1,15051A000,,,Criminal Justice,08/20/2018,200,1.00
610806,522035,Freeman,Giovanni,6/24/1990,2019,15016299025068C,15016299025068C,Q1,02101A000,,,Number Theory,08/20/2018,202,1.00
128910,21742,Goodwin,Diego,9/27/1968,2019,15016299025059C,15016299025059C,S1,02049A000,,,Foundation Math-Other,8/20/2018,200,1
782189,1674,Brennan,Clay,8/4/1975,2019,15016299025283C,15016299025283C,S1,14151A000,,,Medical/Clerical Assisting,08/20/2018,200,1.00
681814,954281,Barton,Emmanuel,8/11/1989,2019,15016299025260C,15016299025260C,Y1,01001A000,,,English/Language Arts I (9th grade),08/20/2018,200,1.00
362688,328654,Mueller,Jameson,12/18/1975,2019,15016299025285C,15016299025285C,S1,09101A000,,,Naval Junior ROTC I,08/20/2018,201,1.00
62182,421045,Burgess,Bailey,5/20/1960,2019,15016299025055C,15016299025055C,S1,01051A000,,,English/Literature (freshmen and sophomores),08/20/2018,200,1.00
,yfrye,Frye,Yosef,9/10/1962,2019,15016299025068C,15016299025068C,S1,15151A000,,,Fire Science,08/20/2018,200,1
,747401,Mcmahon,Mitchell,6/7/1960,2019,15016299025068C,15016299025068C,S1,02101A000,,,Number Theory,08/20/2018,204,1.00
958236,260251,Buchanan,Cortez,11/17/1983,2019,15016299025054C,15016299025054C,S1,20051A000,,,Truck and Bus Driving,08/20/2018,200,1.00
777773,793854,Kennedy,Leroy,8/26/1974,2019,15016299025068C,15016299025068C,S1,03051A000,,,Biology,08/20/2018,200,1.00
N/A,438615,Key,Mason,12/25/1977,2019,15016299025068C,15016299025068C,S1,04101A000,,,U.S. History-Comprehensive,09/06/2018,204,1.00
879687,893717,Griffin,Donavan,10/8/1979,2019,15016299025068C,15016299025068C,Q1,04001A000,,,World Geography,09/03/2018,203,1.00
,519125,Wolfe,Caden,7/26/1952,2019,15016299025059C,15016299025059C,S1,03051A000,,,Biology,2/14/2018,200,1
617332,716833,Sanchez,Levi,5/2/1989,2019,15016299025061C,15016299025061C,S1,18101A000,,,Animal Production/Science,08/20/2018,204,1
,292997,Middleton,Luca,9/12/1975,2019,15016299025267C,15016299025267C,S1,09101A000,,,Naval Junior ROTC I,08/06/2018,200,1.00
,tlawrence,Lawrence,Tyrone,6/18/1959,2019,15016299025284C,15016299025284C,S1,18001A000,,,Introduction to Agriculture and Natural Resources,08/20/2018,200,1.00
225150,593595,Solis,Ahmed,10/3/1990,2019,15016299025068C,15016299025068C,S1,02001A000,,,Informal Mathematics,08/20/2018,204,1.00
48724,313780,Bond,Timothy,8/21/1989,2019,15016299025268C,15016299025268C,S1,03051A000,,,Biology,08/20/2018,200,1.00
407798,fhoward,Howard,Fabian,1/9/1961,2019,15016299025068C,15016299025068C,S1,04051A000,,,World History-Overview,08/20/2018,200,1.00
,3631,Luna,Ronan,1/8/1959,2019,15016299025061C,15016299025061C,S1,12051A000,,,Introductory Business,02/07/2018,200,1.00
572509,afleming,Fleming,Aidan,3/12/1990,2019,15016299025267C,15016299025267C,S1,10051A000,,,Information Management,08/20/2018,200,1.00
,500574,Leon,Karson,11/27/1967,2019,15016299025068C,15016299025068C,S1,02101A000,,,Number Theory,08/20/2018,200,1.00
,365300,Melendez,Edward,7/1/1990,2019,15016299025059C,15016299025059C,S1,02051A000,,,Pre-Algebra,8/20/2018,200,1
,,,,,2019,15016299025273C,15016299025273C,Y1,15151A000,,,Fire Science,,,
,879803,Clarke,Nathen,2/11/1989,2019,15016299025067C,15016299025067C,S1,05051A000,,,Introduction to the Theater,01/07/2018,200,1.00
34914,arasmussen,Rasmussen,Antoine,8/23/1962,2019,15016299025068C,15016299025068C,Y1,16001A000,,,Exploration of Hospitality Careers,08/09/2018,204,1.00
718553,208127,Bender,Robert,10/9/1960,2019,15016299025068C,15016299025068C,Y1,16101A000,,,Exploration of Lodging Careers,08/20/2018,204,1.00
,,,,,2019,15016299025273C,15016299025273C,Q1,04101A000,,,U.S. History-Comprehensive,,,
,963395,Moses,Mitchell,3/28/1986,2019,15016299025059C,15016299025059C,S1,03051A000,,,Biology,08/20/2018,200,1.00
,974271,Cameron,Jorge,10/21/1972,2019,15016299025068C,15016299025068C,S1,13101A000,,,Production Systems,01/28/2018,200,1.00
,277002,Key,Giovanny,2/27/1967,2019,15016299025109C,15016299025109C,S1,04101A000,,,U.S. History-Comprehensive,08/20/2018,200,1.00
617289,bgilbert,Gilbert,Bailey,10/4/1963,2019,15016299025263C,15016299025263C,S1,17049A000,,,General Construction-Other,08/20/2018,200,1.00
,ksoto,Soto,Kameron,12/19/1979,2019,15016299025067C,15016299025067C,S1,03101A000,,,Chemistry,08/20/2018,200,1.00
N/A,796976,Key,Elliot,1/26/1979,2019,15016299025068C,15016299025068C,S1,02051A000,,,Pre-Algebra,09/23/2018,200,1.00
,951602,Lang,Drake,6/22/1954,2019,15016299025070C,15016299025070C,S1,08001A000,,,Physical Education,08/20/2018,200,1.00
563087,984864,Anderson,Dillan,11/24/1959,2019,15016299025068C,15016299025068C,S1,20151A000,,,Distribution-Comprehensive,08/20/2018,200,1.00
,,,,,2019,15016299025273C,15016299025273C,Q1,03101A000,,,Chemistry,,,
972364,668554,Berg,Luis,6/8/1990,2019,15016299025068C,15016299025068C,S1,05101A000,,,General Band,08/20/2018,200,1.00
247930,29754,Wyatt,Dillan,2/23/1963,2019,15016299025068C,15016299025068C,S1,16051A000,,,"Exploration of Restaurant, Food and Beverage Services",08/20/2018,200,1.00
92775,khanson,Hanson,Keagan,4/4/1970,2019,15016299025260C,15016299025260C,Y1,03001A000,,,Earth Science,08/14/2018,200,1.00
489319,86595,Newman,Chris,12/2/1950,2019,15016299025068C,15016299025068C,S1,02101A000,,,Number Theory,08/20/2018,200,1.00
747695,864975,Savage,Darren,1/15/1956,2019,15016299025062C,15016299025062C,S1,04151A000,,,U.S. Government-Comprehensive,08/27/2018,200,1.00
,600235,Roberson,Cael,10/4/1980,2019,15016299025085C,15016299025085C,S1,02101A000,,,Number Theory,09/21/2018,200,1.00
760175,952429,Peters,Manuel,7/3/1972,2019,15016299025068C,15016299025068C,Y1,03151A000,,,Physics,08/21/2018,200,1.00
,745288,Ruiz,Matias,7/18/1958,2019,15016299025070C,15016299025070C,S1,08051A000,,,Health Education,02/12/2018,205,1.00
619067,799472,Anderson,Darwin,12/1/1979,2019,15016299025270C,15016299025270C,S1,02001A000,,,Informal Mathematics,08/20/2018,200,1.00
,611685,Mason,Spencer,2/5/1975,2019,15016299025065C,15016299025065C,S1,21051A000,,,Technological Literacy,08/20/2018,200,1.00
,870107,Freeman,Lucas,5/22/1985,2019,15016299025285C,15016299025285C,S1,15151A000,,,Fire Science,08/20/2018,201,1
,170989,Morton,Isiah,7/28/1986,2019,15016299025071C,15016299025071C,S1,08051A000,,,Health Education,09/20/2018,205,1.00
,621339,Parrish,Fernando,4/17/1941,2019,15016299025066C,15016299025066C,S1,01101A000,,,English/Composition (freshmen and sophomores),08/20/2018,200,1.00
839542,apham,Pham,Ayden,3/13/1947,2019,15016299025065C,15016299025065C,S1,22101A000,,,Leadership,08/20/2018,200,1.00
158027,843767,Brady,Cornelius,6/21/1978,2019,15016299025068C,15016299025068C,Y1,01151A000,,,Public Speaking,08/20/2018,200,1.00
218972,570383,Holloway,Dillan,11/27/1982,2019,15016299025059C,15016299025059C,S1,04151A000,,,U.S. Government-Comprehensive,01/08/2018,200,1.00
109068,jsosa,Sosa,Jamie,9/11/1985,2019,15016299025068C,15016299025068C,S1,20151A000,,,Distribution-Comprehensive,01/17/2018,200,1.00
,500603,Church,Aedan,8/11/1965,2019,15016299025068C,15016299025068C,S1,01051A000,,,English/Literature (freshmen and sophomores),09/03/2018,201,1.00
606427,990945,Stevens,Jay,12/1/1988,2019,15016299025276C,15016299025276C,S1,02101A000,,,Number Theory,02/07/2018,200,1.00
773181,922494,Blanchard,Lane,8/13/1982,2019,15016299025070C,15016299025070C,Y1,14151A000,,,Medical/Clerical Assisting,08/20/2018,200,1.00
953162,631061,Valenzuela,Jonas,5/28/1990,2019,15016299025068C,15016299025068C,Y1,03151A000,,,Physics,02/05/2018,200,1.00
177484,958620,Roberts,Jaron,7/1/1968,2019,15016299025063C,15016299025063C,Y1,11101A000,,,Journalism,08/20/2018,200,1
,,,,,2019,15016299025273C,15016299025273C,S1,21101A000,,,Drafting Careers Exploration,,,
701761,203430,Phillips,Leroy,12/16/1966,2019,15016299025086C,15016299025086C,S1,20051A000,,,Truck and Bus Driving,08/20/2018,202,1.00
318473,593151,Chase,Gael,12/22/1990,2019,15016299025263C,15016299025263C,S1,03049A000,,,Earth Science-Other,01/14/2018,200,1.00
681377,efuentes,Fuentes,Edward,12/22/1986,2019,15016299025070C,15016299025070C,S1,10051A000,,,Information Management,08/20/2018,203,1.00
399425,409325,Hardy,Bo,3/10/1971,2019,15016299025276C,15016299025276C,S1,01051A000,,,English/Literature (freshmen and sophomores),01/08/2018,200,1.00
980468,551496,Brady,Noel,5/13/1960,2019,15016299025060C,15016299025060C,S1,03151A000,,,Physics,08/21/2018,200,1.00
,353202,Dickerson,Leonidas,1/1/1990,2019,15016299025059C,15016299025059C,Y1,11151A000,,,Digital Media Technology,8/20/2018,202,1
,710389,Romero,Elias,12/13/1975,2019,15016299025069C,15016299025069C,Y1,15151A000,,,Fire Science,08/20/2018,200,1
628134,799256,Sherman,Konner,12/8/1954,2019,15016299025072C,15016299025072C,S1,04151A000,,,U.S. Government-Comprehensive,09/16/2018,200,1.00
,230723,Rivers,Bruno,2/7/1981,2019,15016299025068C,15016299025068C,Q1,08001A000,,,Physical Education,08/20/2018,200,1.00
29499,643080,Cameron,Corbin,3/20/1973,2019,15016299025283C,15016299025283C,S1,01151A000,,,Public Speaking,08/20/2018,200,1.00
44981,819672,Paul,Raymond,4/28/1957,2019,15016299025063C,15016299025063C,S1,02001A000,,,Informal Mathematics,08/20/2018,200,1.00
829831,469891,Benton,Zaiden,9/21/1984,2019,15016299025066C,15016299025066C,S1,08001A000,,,Physical Education,08/20/2018,200,1.00
,303516,Gibbs,Kayden,6/17/1958,2019,15016299025270C,15016299025270C,Y1,03101A000,,,Chemistry,08/20/2018,200,1
,714278,Alvarado,Heath,8/13/1983,2019,15016299025068C,15016299025068C,S1,22001A000,,,Standardized Test Preparation,02/13/2018,203,1.00
545603,984844,Lloyd,Nathan,1/27/1950,2019,15016299025068C,15016299025068C,S1,08051A000,,,Health Education,08/20/2018,200,1.00
,322240,Huerta,Gaige,4/18/1959,2019,15016299025059C,15016299025059C,S1,16101A000,,,Exploration of Lodging Careers,8/20/2018,200,1
402573,276534,Lester,Zane,6/22/1978,2019,15016299025274C,15016299025274C,S1,18051A000,,,Plant Production/Science,08/20/2018,200,1
,948030,Hamilton,Ivan,8/3/1958,2019,15016299025068C,15016299025068C,S1,03151A000,,,Physics,08/20/2018,200,1.00
,,,,,2019,15016299025273C,15016299025273C,Q1,11151A000,,,Digital Media Technology,,,
249654,465802,Hernandez,Marcos,7/22/1971,2019,15016299025274C,15016299025274C,S1,09151A000,,,Air Force Junior ROTC I,08/24/2018,200,1.00
,939912,Nicholson,Kael,6/8/1948,2019,15016299025068C,15016299025068C,S1,04151A000,,,U.S. Government-Comprehensive,08/20/2018,200,1.00
920713,845470,Hanna,Mauricio,10/9/1969,2019,15016299025273C,15016299025273C,1,12151A000,,,Marketing Career Exploration,08/20/2018,200,1.00
348287,959668,Mccann,Gregory,8/22/1966,2019,15016299025056C,15016299025056C,S1,10051A000,,,Information Management,08/20/2018,203,1.00
181872,708967,Mason,Lawson,7/3/1962,2019,15016299025064C,15016299025064C,S1,01051A000,,,English/Literature (freshmen and sophomores),08/20/2018,200,1.00
,,,,,2019,15016299025273C,15016299025273C,S1,04147A000,,,U.S. History-Independent Study,,,
,246787,Jensen,Roy,5/19/1975,2019,15016299025267C,15016299025267C,S1,04001A000,,,World Geography,08/20/2018,203,1.00
,837528,Bernard,Devyn,7/22/1976,2019,15016299025285C,15016299025285C,S1,08051A000,,,Health Education,08/20/2018,200,1.00
936887,75882,Houston,Gordon,10/18/1971,2019,15016299025068C,15016299025068C,Q1,03151A000,,,Physics,08/20/2018,200,1.00
,bpratt,Pratt,Brett,4/16/1990,2019,15016299025067C,15016299025067C,S1,02001A000,,,Informal Mathematics,08/16/2018,200,1.00
,160515,Garrison,Antwan,4/3/1983,2019,15016299025261C,15016299025261C,S1,05147A000,,,Music-Independent Study,08/20/2018,200,1.00
380690,jaguirre,Aguirre,Jairo,2/25/1971,2019,15016299025059C,15016299025059C,Q1,04101A000,,,U.S. History-Comprehensive,8/20/2018,205,1
,742351,Mendez,Cesar,12/7/1961,2019,15016299025068C,15016299025068C,S1,05101A000,,,General Band,08/20/2018,200,1.00
,884360,Duarte,Ariel,2/22/1970,2019,15016299025285C,15016299025285C,Y1,05101A000,,,General Band,02/04/2018,200,1.00
148126,883953,Mcdowell,Davis,6/25/1972,2019,15016299025059C,15016299025059C,S1,01151A000,,,Public Speaking,8/20/2018,200,1
,rdodson,Dodson,Reuben,4/5/1943,2019,15016299025068C,15016299025068C,Q1,04101A000,,,U.S. History-Comprehensive,08/20/2018,200,1.00
,603619,Cohen,Alvaro,2/9/1974,2019,15016299025068C,15016299025068C,S1,17047A000,,,General Construction-Independent Study,08/20/2018,200,1.00
